text,label
"yea?",1
"hello?",0
"can you hear me?",1
"hello, Name.",0
"wait a minute!",1
"&+wai, can you hear me?",1
"can you hear me?",1
"okay, this.",1
"wait to put.",1
"xxx, wait a minute, okay?",1
"wait, &-uh.",1
"can you hear me?",1
"<okay> [<].",0
"&-hm, hi, &-eh, sorry I couldn't talk to you on Monday and Tuesday, I saw you did try to call me but I couldn't talk to you nobody (be)cause I had an exam today, so I had to study.",1
"okay.",0
"&+s so I couldn't talk to you, &+gra, xxx on Sunday, but that's fine, and to xxx, &=laughs, perhaps a bit later.",1
"okay, okay.",0
"like &-eh &+wh &+wh what task do you want to do?",1
"&-eh, first, I, I have &-eh five questions for you.",0
"okay, yes.",1
"yes, &-eh, a ver, &-ehm (.) one moment, please.",0
"yea, okay.",1
"okay (.) &-eh, first, &-eh, what degree do you study?",0
"&-ah I think the &-hm &-ah what, the language degree?",1
"Spanish and English.",1
"&-huhuh, degree.",0
"because &-eh I'm planning after that, I'm planning to become a teacher, <primary> [>], of primary school teacher, and for this one, I need the degree.",1
"<&+t> [<], &-eh, since when?",1
"&-eh I study Spanish &-eh no, I'm study &+Spa Spanish, I got now, six months.",1
"&-huhuh.",0
"is, yea, &-ahm, have, doing three courses, in the same time three levels of Spanish, &=laughs.",1
"okay, three levels.",0
"and, and you become &-eh teacher, no?",0
"what?",1
"sorry?",1
"<okay> [>].",0
"<I want> [<] to be a teacher, &+beco, is the degree for that, (be)cause degree from Romania doesn't count from here, (be)cause I have a degree in Rumania, but doesn't count in UK.",1
"<&-huhuh> [<], okay.",0
"I have a degree, this one for UK, yes, &+wa &-eh, wait, wait a minute, do you need to, you need to record this, yes?",1
"you know?",1
"<okay> [>].",0
"<you  need to> [<] record all &-eh conversation.",1
"yo, &-eh, <&-eh> [>].",0
"<you know> [<] that?",1
"&-hm?",1
"&-ah, &-eh, <okay> [>].",1
"<in Spanish> [<]?",0
"&-hm, do you know what to do?",1
"&=laughs.",0
"because, &-ah the other student like you, and they recorded the &-t our conversation, but they asked me question and answer question too, the same.",1
"&-hm, yes, I, I record the, this, this conversation <&-eh> [>].",0
"<okay> [<], &+b, okay, so, I, I'll answer the question after you finish or <or the xxx here> [>]?",1
"<no, no, no> [<], &-eh, &-eh there are <&-eh> [>] one, two, three, four, five, six, seven, eight, eight questions.",0
"<&-hm> [<]?",1
"yea, but I need to ask them almost the same too, I ask you.",1
"<sorry> [>]?",0
"<the> [<].",1
"&-eh, I am don't understand.",0
"no, what task do you do?",1
"what number of the task you do?",1
"you don't know that?",1
"where did you get the questions from?",1
"sí, &-eh, how long has &-eh how long have &-eh you been studying Spanish?",0
"how long?",0
"&-eh, I've been studying Spanish for &+s &+mo six months.",1
"six months.",0
"okay, what do you think about &-eh your university?",0
"&-ah my university is very good, because the programme is very flexible, that means I can study whenever I have time or whenever I want.",1
"<&-huhuh> [>].",0
"<&-eh> [<], so, I'm I'm free to choose my time of studying (.) yea, &-oh.",1
"where are you from?",0
"&-ah I'm from Romania.",1
"&-huhuh, okay.",0
"where do you live?",0
"sorry?",1
"where do you live?",0
"where do I what?",1
"&-eh where, where do you live?",0
"where do I live?",1
"&-eh I live <&-eh> [>], in Scotland, en Escocia, en Glasgow for five years.",1
"<&-eh> [<].",0
"and now.",1
"okay.",0
"is is the first time you use Skype?",0
"no, this is not the first time, I've done it, long, long time ago, many times.",1
"okay.",0
"&-huhuh.",1
"&-ahm, &-eh we, we, we have &-eh two &+pic &-eh &-eh no, &-eh we.",0
"where is it, describe the pictures, yes?",1
"the same, describe the pictures.",0
"yea, but you need to tell me what number of task are we doing, so I can see the pictures, you see, (be)cause I don't know what task you're doing.",1
"task be one.",0
"task number one, okay, &+b +/.",1
"okay.",0
"wait, just wait a second, (be)cause I need you to ask the same question you asked me so the teacher knows &+y &+th the, &-pf shit, xxx, &-hm &-hm &-oh there you go.",1
"so &-eh the teacher knows how, how well you speak English.",1
"&-eh, the first, the first picture in English, <and the second in castellano> [>].",0
"<no, no, yea> [<], sí, sí, sí, no, espera, &-eh, wait, the the question, I need to ask the question as well you, <me> [>].",1
"<&-ah ok> [<], okay.",0
"so your teacher knows what, how you do English, <do you understand> [>]?",1
"<&-eh> [<], sí, &-eh, <I finish> [>], I finish the question.",0
"<don't> [<], no, I need to ask them now back to you.",1
"&-eh.",0
"okay, so, I'll ask you now, you speak it, okay?",1
"okay.",0
"xxx, &-ah, what degree do you study?",1
"no, the question <in English> [>], all in English.",1
"<in English> [<]?",0
"&-ah, in English.",0
"yes, only in English those ones.",1
"&-eh &-eh in English?",0
"yes, the questions, yes, why?",1
"&+b, <but &-eh> [>].",1
"<I think> [<] you, you practice, you practice &-eh Spanish, no?",0
"for me?",1
"&-ah, wait, we don't understand each other, you &+u you know, look, &-hm.",1
"the xxx says here, for this task, you'll have to describe some pictures.",1
"<&-huhuh> [>].",0
"<and> [<] I don't divide the difference with the pictures your tandem partner see, before you start with the picture activity, find out more about your tandem partner.",1
"<yea> [>].",0
"<write> [<] down the answers, or you just could talk, to the following questions, and send them to your teacher.",1
"okay, okay, okay.",0
"so now, I need to ask the same question you asked me, so you can send them to your teacher, so the teacher knows how well is your &-ah English, <yes> [>]?",1
"<&-ah> [<], <okay> [>].",0
"<you &+st> [<], you studying in English now, or, why, why are you doing this degree for?",1
"or this course for?",1
"okay, the, the first picture, no?",0
"no, we don't talk about the pictures, about the questions, sobre las preguntas.",1
"<&+par> [>].",1
"<vale> [>].",0
"I study English.",0
"okay, but you need to <&+s tandem> [>] in English then.",1
"<but, but> [<] but you study &-eh Spanish.",0
"sí, I could talk in Spanish, and you speak in English, ¿<sí> [>]?",1
"<okay, okay> [<], okay, okay.",0
"&+d do you understand?",1
"&+s, okay, I understand.",0
"&+c (be)cause that's what I've done with other students, that's what they told me to do &=laughs.",1
"&=laughs.",0
"I <know> [>] from them.",1
"<I, I> [<], I think, I think that the questions for me &-eh in &+En in in in Spanish, but I don't know.",0
"so you can speak in Spanish.",1
"&+y you, you have &+Spa, you speak in Spanish, you.",0
"yea, I speak in Spanish, and you speak English, yes?",1
"yes.",0
"&-oh, okay then, all right, this xxx.",1
"now, we don't, I don't understand the challenge here, &-ah, don't xxx.",1
"&-hm, &+ri, I, I, I'll ask you the first question, okay?",1
"okay.",0
"right, what degree do you study?",1
"&-huhuh.",1
"yea, but, you to speak English, this, this course is in English, isn't it?",1
"or what is, I don't understand what you're trying to do here.",1
"you, you.",0
"sorry, but, but you need to speak English, me, I don't need to speak English or Spanish, you see (be)cause I don't need to send this to to my teacher.",1
"I'm doing this only to, to improve my, my &-eh speaking &+i &-eh in Spanish, &+d do you understand?",1
"no, no, I don't, I don't understand.",0
"<right> [>].",1
"<no> [<] entiendes.",1
"<I don't> [>].",1
"<xxx> [<].",0
"I'm doing xxx of you, you people, the students from Cataluña, I'm doing something &+ di different, I don't need to send nothing to nobody, it's only for myself.",1
"&-ah.",0
"you &+s, you understand?",1
"it's not for my university, <like> [>], like you it's for my st, this is the, like &-ah how do say that like &-ahm, wait I forgot the word.",1
"<&-ah okay> [<].",0
"so you, I ask you in English question, you need to tell them in English.",1
"&-ah vale, okay, okay, <okay> [>].",0
"<yes> [<].",1
"yes, yes, &=laughs, yes, so.",0
"do you understand?",1
"(be)cause <that's xxx only with the students> [>], you know?",1
"<&-eh, so, yes> [<], sí, I understand, <I understand> [>].",0
"<okay> [<], &-eh, what, so, I'll, I'll start the question and then we do the, the pictures to find the difference, okay?",1
"&+o <okay, okay> [>].",0
"<sí, vale> [<], right, &-eh, &+wh what degree do you study?",1
"&-huhuh (.) &-ah, why do you study English?",1
"I'm studying English &-ehm &-hm I study English &-eh &+f for I have &-eh, no, because I have &-eh a (.) a.",0
"subject?",1
"subject, <I, I xxx> [>].",0
"because I have a subject.",0
"<I, I have> [<] I have English.",0
"okay, like &-eh how long have you been studying English for?",1
"&-eh two years, I have &-eh I have been studying English &+th two years.",0
"okay, &-eh, what do you think about your university?",1
"is easy and &-eh is very difficult.",0
"&-oh, why is that because?",1
"yes, <is, is> [>] difficult.",0
"<why> [<]?",1
"&-ah, why?",0
"&-hm, yes.",1
"because, because &-eh is &+i &-hm, it's &-uf es &-eh.",0
"<&-huhuh> [>].",1
