text,label
"¿hola?",1
"¿hola?",1
"¿hola?",1
"sí, wait a minute!",0
"yo sí.",1
"¿tú?",1
"sí, yo te oigo, ¿me oyes tú?",1
"sí, sí.",0
"¿me oyes?",1
"&+ye, yes, <sí> [>].",0
"<sí> [<], okay, &-eh, <why> [>] do you do study Spanish &-hm?",1
"sí, tres, y the, in, now +/.",0
"¿quieres ser profesora?",1
"sí, sí.",0
"sí, sí, sí, &-hm, okay, sí.",1
"sí.",0
"sí.",0
"¿sigue?",0
"sí, do I live, eso, do, &=laughs.",1
"sí.",0
"yo necesito &-eh preguntar <las, las xxx> [>].",0
"<sí, sí, sí> [<] &+l &+l, &-eh I understand, I understand.",1
"&-eh, pero me lo tienes que hacer en español, ¿no?",1
"<sobre las &+pre> [>].",1
"<porque> [<] yo tengo que &+de &-eh pregunto a ti las, estas preguntas, <que tú> [>] me preguntaste antes.",0
"<claro> [<].",1
"<claro> [<], pero yo te &+teng, pero yo te tengo que contestar en español, en castellano te tengo que contestar, ¿no?",1
"¿las preguntas?",0
"las preguntas tú me las haces en castellano, ¿no?",1
"¿o no?",1
"&+s &-eh, sí, sí.",0
"<pero> [<] tú &+t, <tú tienes> [>].",0
"<yo te contesto> [<].",1
"yo te contesto en castellano, ¿no?",1
"no, no, no, no, no en castellano, in &+S English, do you study English or or Spanish?",0
"yo estudio &-eh ingeniería informática en la UOC, en una universidad &-eh virtual.",1
"y estudio tercero de informática.",1
"<no> [<], no lo entiendo, <no> [>].",1
"yo, yo &+ent yo entiendo que tú &-eh deberías de contestar, yo, yo te debería de contestar en castellano.",1
"¿<por que> [>]?",0
"<y> [<], <porque tú no> [>].",1
"<pero tú> [<], &-hm?",0
"porque tú, tú tienes que mandar mis respuestas en castellano, ¿no?",1
"<el profesor> [<], ¿no le tienes que mandar las respuestas, mis respuestas en castellano a tu profesor?",1
"no, no, no, <no> [>].",0
"&-eh I study, &-eh third &-eh &-hm &-hm degree of &-eh informática, informática, &+si &+si &-hm sistemas.",1
"dígame en español, &+per, te puedo ayudar ayudarte <si quieres> [>].",0
"<una &+asigna> [<], porque tengo una asignatura, I, I have a, tengo una asignatura.",1
"<sí> [<].",0
"vale, <qué qué> [>] subject?",0
"dígamelo en español.",0
"s;i, es &-eh, los horarios son difíciles de compatibilizar &-f &-eh <con lo que estoy estudiando> [>].",1
"¿<lo que> [<]?",0
"los horarios son difíciles.",1
"<no, I> [<], no, no te entiendo, &-hm.",1
"&-ahm, your university.",0
"sí, <it's> [>].",1
"no, no, no lo sé, &-hm, &-ahm xxx creo que tiene mucho sol, &=laughs.",0
"<rain> [>], rain, lluvia.",1
"sí, is raining, <xxx> [>].",1
"<sí> [<], ¿tienes?",0
"&-eh, a ver, &-eh, yo tuve que comprar el micro y los altavoces, I, I bought <the> [>] micro .",1
"<sí> [>].",0
"¿de lo qué?",0
"motorcycle, motorcycle, sí.",0
"sí.",0
"sí.",0
"sí.",0
"en el fondo, background.",1
"&-ah &-ah, I see, yo veo un, un coche rojo, vale.",1
"¿perdón?",1
"perdón, &-hm, (.) &-eh okay.",0
